#FREQ,SIGIN,AMP,SIGIN_TRUE,AMPFACTOR
1000,1.9,4.2,0.001862745,2254.736842
1500,1.9,4.16,0.001862745,2233.263158
2000,1.9,4.16,0.001862745,2233.263158
2500,1.9,4.08,0.001862745,2190.315789
3000,1.9,4.08,0.001862745,2190.315789
3500,1.9,4,0.001862745,2147.368421
4000,1.9,3.92,0.001862745,2104.421053
4500,1.9,3.84,0.001862745,2061.473684
5000,1.9,3.76,0.001862745,2018.526316
5500,1.9,3.72,0.001862745,1997.052632
6000,1.9,3.64,0.001862745,1954.105263
6500,1.9,3.56,0.001862745,1911.157895
7000,1.9,3.48,0.001862745,1868.210526
7500,1.9,3.36,0.001862745,1803.789474
8000,1.9,3.28,0.001862745,1760.842105
8500,1.9,3.2,0.001862745,1717.894737
9000,1.9,3.12,0.001862745,1674.947368
9500,1.9,3.04,0.001862745,1632
10000,1.9,2.96,0.001862745,1589.052632
11000,1.9,2.84,0.001862745,1524.631579
12000,1.9,2.68,0.001862745,1438.736842
13000,1.9,2.56,0.001862745,1374.315789
14000,1.9,2.4,0.001862745,1288.421053
15000,1.9,2.32,0.001862745,1245.473684
16000,1.9,2.16,0.001862745,1159.578947
17000,1.9,2.08,0.001862745,1116.631579
18000,1.9,2.04,0.001862745,1095.157895
19000,1.9,1.96,0.001862745,1052.210526
20000,1.9,1.88,0.001862745,1009.263158
22000,1.9,1.72,0.001862745,923.3684211
24000,1.9,1.56,0.001862745,837.4736842
26000,1.9,1.44,0.001862745,773.0526316
28000,1.9,1.32,0.001862745,708.6315789
30000,1.9,1.22,0.001862745,654.9473684
900,1.9,4.2,0.001862745,2254.736842
800,1.9,4.2,0.001862745,2254.736842
700,1.9,4.2,0.001862745,2254.736842
600,1.9,4.2,0.001862745,2254.736842
500,1.9,4.2,0.001862745,2254.736842
400,1.9,4.24,0.001862745,2276.210526
300,1.9,4.24,0.001862745,2276.210526
200,1.9,4.24,0.001862745,2276.210526
100,1.9,4.2,0.001862745,2254.736842
75,1.9,4.16,0.001862745,2233.263158
50,1.9,4,0.001862745,2147.368421
25,1.9,3.6,0.001862745,1932.631579
10,1.88,2.4,0.001843137,1302.12766
